file_name,replicate,temp,rep,var,sample_day,cell_density,start_time,date,time,cell_volume,total_biovolume,keep,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CIII_02_summary,30CIII,30,III,constant temperature,02,973,2017-02-18T17:52:21Z,2017-02-18,17:52:21,550.09,535237.5700000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CIII_03_summary,30CIII,30,III,constant temperature,03,1434,2017-02-18T17:58:10Z,2017-02-18,17:58:10,2231.87,3200501.58,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CIII_04_summary,30CIII,30,III,constant temperature,04,615,2017-02-18T18:03:03Z,2017-02-18,18:03:03,1218.42,749328.3,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CIII_05_summary,30CIII,30,III,constant temperature,05,1434,2017-02-18T18:22:08Z,2017-02-18,18:22:08,1414.01,2027690.34,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30CIII_06_summary,30CIII,30,III,constant temperature,06,1076,2017-02-18T18:29:32Z,2017-02-18,18:29:32,821.99,884461.24,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30VI_01_summary,30VI,30,I,variable temperature,01,1393,2017-02-18T18:32:49Z,2017-02-18,18:32:49,1624.74,2263262.82,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30VI_02_summary,30VI,30,I,variable temperature,02,1281,2017-02-18T18:37:20Z,2017-02-18,18:37:20,665.65,852697.65,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30VI_03_summary,30VI,30,I,variable temperature,03,1034,2017-02-18T18:46:27Z,2017-02-18,18:46:27,828.89,857072.26,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30VI_04_summary,30VI,30,I,variable temperature,04,1352,2017-02-18T18:50:05Z,2017-02-18,18:50:05,694.7,939234.4,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30VI_05_summary,30VI,30,I,variable temperature,05,1023,2017-02-18T18:54:37Z,2017-02-18,18:54:37,1697.17,1736204.9100000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/30VI_06_summary,30VI,30,I,variable temperature,06,1534,2017-02-18T18:59:03Z,2017-02-18,18:59:03,676.46,1037689.64,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
