"Lat","Lon","Biome","Hemisphere","Mean","SD"
-58.5,-174.5,"marine","Southern",4.60264,1.04803
-58.5,-173.5,"marine","Southern",4.52312,1.05597
-58.5,-172.5,"marine","Southern",4.45517,1.06408
-58.5,-171.5,"marine","Southern",4.39881,1.07243
-58.5,-170.5,"marine","Southern",4.33702,1.0798
-58.5,-169.5,"marine","Southern",4.2698,1.08606
-58.5,-168.5,"marine","Southern",4.19112,1.09004
-58.5,-167.5,"marine","Southern",4.10097,1.0917
-58.5,-166.5,"marine","Southern",4.00132,1.09129
-58.5,-165.5,"marine","Southern",3.89215,1.08885
-58.5,-164.5,"marine","Southern",3.78048,1.08457
-58.5,-163.5,"marine","Southern",3.66631,1.07853
-58.5,-162.5,"marine","Southern",3.55049,1.07187
-58.5,-161.5,"marine","Southern",3.433,1.06466
-58.5,-160.5,"marine","Southern",3.30954,1.05735
-58.5,-159.5,"marine","Southern",3.1801,1.0499
-58.5,-158.5,"marine","Southern",3.02858,1.03989
-58.5,-157.5,"marine","Southern",2.85498,1.02716
-58.5,-156.5,"marine","Southern",2.66529,1.01439
-58.5,-155.5,"marine","Southern",2.45952,1.00164
-58.5,-154.5,"marine","Southern",2.25416,0.992559
-58.5,-153.5,"marine","Southern",2.04921,0.987285
-58.5,-152.5,"marine","Southern",1.86831,0.987154
-58.5,-151.5,"marine","Southern",1.71146,0.99204
-58.5,-150.5,"marine","Southern",1.59294,1.0001
-58.5,-149.5,"marine","Southern",1.51276,1.01169
-58.5,-148.5,"marine","Southern",1.48012,1.02013
-58.5,-147.5,"marine","Southern",1.49504,1.02536
-58.5,-146.5,"marine","Southern",1.56435,1.0216
-58.5,-145.5,"marine","Southern",1.68807,1.00869
-58.5,-144.5,"marine","Southern",1.84815,0.992132
-58.5,-143.5,"marine","Southern",2.04458,0.972362
-58.5,-142.5,"marine","Southern",2.23278,0.955444
-58.5,-141.5,"marine","Southern",2.41276,0.941564
-58.5,-140.5,"marine","Southern",2.5499,0.930708
-58.5,-139.5,"marine","Southern",2.6442,0.922387
-58.5,-138.5,"marine","Southern",2.7138,0.917913
-58.5,-137.5,"marine","Southern",2.75871,0.91709
-58.5,-136.5,"marine","Southern",2.8254,0.921553
-58.5,-135.5,"marine","Southern",2.91389,0.931218
-58.5,-134.5,"marine","Southern",3.03493,0.941643
-58.5,-133.5,"marine","Southern",3.18852,0.952731
-58.5,-132.5,"marine","Southern",3.35952,0.961697
-58.5,-131.5,"marine","Southern",3.54791,0.968573
-58.5,-130.5,"marine","Southern",3.72796,0.970658
-58.5,-129.5,"marine","Southern",3.89966,0.967986
-58.5,-128.5,"marine","Southern",4.04998,0.963994
-58.5,-127.5,"marine","Southern",4.17893,0.958555
-58.5,-126.5,"marine","Southern",4.28196,0.952938
-58.5,-125.5,"marine","Southern",4.35906,0.947244
-58.5,-124.5,"marine","Southern",4.40955,0.941996
-58.5,-123.5,"marine","Southern",4.43343,0.93723
-58.5,-122.5,"marine","Southern",4.44537,0.932836
-58.5,-121.5,"marine","Southern",4.44537,0.928777
-58.5,-120.5,"marine","Southern",4.45802,0.92471
-58.5,-119.5,"marine","Southern",4.48333,0.920545
-58.5,-118.5,"marine","Southern",4.52545,0.915233
-58.5,-117.5,"marine","Southern",4.58438,0.908983
-58.5,-116.5,"marine","Southern",4.64403,0.90126
-58.5,-115.5,"marine","Southern",4.70438,0.892298
-58.5,-114.5,"marine","Southern",4.75749,0.881691
-58.5,-113.5,"marine","Southern",4.80334,0.869245
-58.5,-112.5,"marine","Southern",4.84815,0.857725
-58.5,-111.5,"marine","Southern",4.89193,0.846983
-58.5,-110.5,"marine","Southern",4.94012,0.839069
-58.5,-109.5,"marine","Southern",4.99274,0.834241
-58.5,-108.5,"marine","Southern",5.048,0.830194
-58.5,-107.5,"marine","Southern",5.10593,0.8269
-58.5,-106.5,"marine","Southern",5.16196,0.822587
-58.5,-105.5,"marine","Southern",5.21611,0.817157
-58.5,-104.5,"marine","Southern",5.26606,0.811214
