replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
11,179,0.23787639229279742,0.1271342253644672,33.89357870960697,14.454437628234349,2304.430549506078,TRUE,1.4901161193847656e-8,-520.1334206593893,1050.2668413187787,1060.4820976579515,281451208.3473349,53
12,654,0.1926746340684234,0.14391594346145276,45,8.923779259278573,1991.9869927254254,TRUE,1.4901161193847656e-8,-511.8284655725311,1033.6569311450621,1043.872187484235,210304645.49692604,53
13,134,0.9805130733003354,0.05130209765005689,26.931555239665567,19.13786972088853,3579.2443651092094,TRUE,1.4901161193847656e-8,-545.2315529929169,1100.4631059858339,1110.6783623250067,678982481.9337994,53
14,990,0.2374170053477058,0.12840703208521304,35.587142050702866,13.601267631093574,1927.813559988608,TRUE,1.4901161193847656e-8,-509.9619356425195,1029.923871285039,1040.1391276242118,196972651.47002536,53
15,239,0.27350301663790444,0.12155061139844017,33.26265300539943,14.758033668371272,2107.342878919529,TRUE,1.4901161193847656e-8,-515.0372934220138,1040.0745868440276,1050.2898431832004,235367382.49464104,53
16,1308,0.22690474187655607,0.13411503507879827,38.00755424629356,12.431664340307666,2294.285611952778,TRUE,1.4901161193847656e-8,-519.8819320446134,1049.763864089227,1059.9791204283997,278978562.8683172,53
17,88,0.1664408696243703,0.15151490722310432,45,8.97615950980065,2533.1908879075136,TRUE,1.4901161193847656e-8,-525.5282502269858,1061.0565004539717,1071.2717567931445,340103971.9526158,53
18,1192,0.23443267773285528,0.130136702740224,35.16296466821765,13.845181435085863,2376.3691354716675,TRUE,1.4901161193847656e-8,-521.8856094179746,1053.7712188359492,1063.986475175122,299297904.20518506,53
19,1232,0.23193729060706172,0.1299496349745404,36.82886447661745,12.97512862706249,2127.6381172943593,TRUE,1.4901161193847656e-8,-515.5836181608641,1041.1672363217283,1051.382492660901,239922729.78268594,53
20,1205,1.2,0.033399619239438225,28.146779235758284,19.05545792878475,4338.991881402032,TRUE,1.4901161193847656e-8,-556.2035017347018,1122.4070034694037,1132.6222598085765,997823078.9842556,53
21,133,1.2,0.033806400713423355,28.17826507058492,19.076766199765448,4353.035205618715,TRUE,1.4901161193847656e-8,-556.3876866593088,1122.7753733186175,1132.9906296577904,1004292521.571866,53
22,988,0.23464933058882304,0.13149628133908295,37.96524935717666,12.42483314265111,1924.3075185907385,TRUE,1.4901161193847656e-8,-509.8581775254796,1029.7163550509592,1039.931611390132,196256849.5835568,53
23,906,0.2311117294549324,0.13063586483894776,37.17584013375407,12.80743155899522,2008.034512918644,TRUE,1.4901161193847656e-8,-512.2858198928441,1034.5716397856881,1044.786896124861,213706738.06883803,53
24,914,0.20661905824329996,0.13767006961894357,40.87937168847135,10.965060951595003,2077.6168353177122,TRUE,1.4901161193847656e-8,-514.2275303190137,1038.4550606380274,1048.6703169772002,228774060.8629661,53
25,1254,0.2217026951801506,0.13447899652715156,37.37093750735009,12.753077568421949,2065.4139548867,TRUE,1.4901161193847656e-8,-513.8917538156626,1037.7835076313252,1047.998763970498,226094544.66715816,53
26,1231,0.23957199227315804,0.12656587909814543,34.469677406351586,14.149540403012498,2193.660104612251,TRUE,1.4901161193847656e-8,-517.3254771755587,1044.6509543511174,1054.8662106902902,255043666.6920739,53
27,920,0.21291977836123646,0.13413426956489302,38.1964312890185,12.29809205689809,2210.4946648728924,TRUE,1.4901161193847656e-8,-517.7612359799291,1045.5224719598582,1055.737728299031,258973193.16187063,53
28,848,0.18415068490086134,0.1466913113882505,45,8.947985732867577,2153.7071308087448,TRUE,1.4901161193847656e-8,-516.2777701381522,1042.5555402763043,1052.7707966154771,245838083.480711,53
29,975,0.30329485621088115,0.1126689021505154,32.72487357305638,15.467556547089922,2103.762451144511,TRUE,1.4901161193847656e-8,-514.9403666456178,1039.8807332912356,1050.0959896304084,234568271.89481473,53
30,374,0.22019816023147804,0.1332781584297661,38.78941513925021,11.996412588960148,2375.346169801368,TRUE,1.4901161193847656e-8,-521.8610671041524,1053.7221342083049,1063.9373905474777,299040279.59867156,53
31,387,0.21918623844275917,0.1320789018102884,39.250110838449935,12.181873655897848,2345.9439958692346,TRUE,1.4901161193847656e-8,-521.1511147303656,1052.3022294607313,1062.517485799904,291683021.28301036,53
32,984,0.22732614269906729,0.13233900749188426,37.6517880644872,12.583706810427099,2152.8319209005026,TRUE,1.4901161193847656e-8,-516.2546021302194,1042.5092042604388,1052.7244605996116,245638319.82135183,53
33,1304,0.237156880578611,0.12772807082754245,33.69471440073508,14.566657253037084,2160.277120131062,TRUE,1.4901161193847656e-8,-516.451386757554,1042.902773515108,1053.1180298542808,247340253.49537304,53
34,1204,1.2,0.03316394838180266,28.213220727815777,19.100439143933293,4504.952975659461,TRUE,1.4901161193847656e-8,-558.3430205043735,1126.686041008747,1136.9012973479198,1075613869.5838609,53
35,986,0.22025663428586423,0.13546902888909954,39.086435467080584,11.883923533758765,2141.566735317306,TRUE,1.4901161193847656e-8,-515.9555534845204,1041.9111069690407,1052.1263633082135,243074328.33633414,53
36,719,0.23454733369403816,0.12752224947811486,34.28786572932871,14.250830174046765,1966.8488259705175,TRUE,1.4901161193847656e-8,-511.104568533359,1032.209137066718,1042.4243934058907,205030198.12374496,53
37,1203,1.2,0.03184252065026179,28.207638951409074,19.096658311594748,4560.576414691262,TRUE,1.4901161193847656e-8,-559.042499966885,1128.08499993377,1138.3002562729428,1102339433.4146247,53
38,128,0.24778673166812898,0.12333879511066499,31.234945548990815,15.785238207420516,2294.8544090778496,TRUE,1.4901161193847656e-8,-519.8960616794237,1049.7921233588474,1060.0073796980203,279116908.2197945,53
39,1059,0.19947331786354405,0.1404516230511564,42.669466205281005,10.076019283940955,2076.700139334716,TRUE,1.4901161193847656e-8,-514.2023749578809,1038.4047499157618,1048.6200062549347,228572223.84177995,53
40,1096,0.23862367631889167,0.12852642366392228,36.73046961937817,13.015602806203914,1859.8515935980024,TRUE,1.4901161193847656e-8,-507.91621737835857,1025.8324347567172,1036.0476910958898,183329541.36107856,53
